Iteration,Family,Phase,Upper Vars,Lower Vars,Val Poisson Dev,Val RMSE,AIC,BIC,AADT elasticity min,AADT elasticity p10,AADT elasticity median,AADT elasticity p90,AADT elasticity share positive,Monotonic AADT (e>0 all segs),Pareto Efficient,Beats benchmark (BIC+RMSE),BIC improvement vs benchmark,RMSE improvement vs benchmark,Joint improvement score,Total improvement score
1273,nb,sa,"CPM_Z, CURVES_Z, GBRPM_Z, SLOPE_Z, WIDTH_Z","AVEPRE_Z, CURVES_Z, MXMEDSH_Z, SLOPE_Z",474.1038104515645,14.29079232201694,1155.7077816868023,1192.9791273736091,0.6691069428774226,0.7208583087646615,0.77386051851486,1.0889018065935674,1.0,yes,False,True,,,,
1272,nb,sa,"CPM_Z, CURVES_Z, GBRPM_Z, SLOPE_Z, WIDTH_Z","AVEPRE_Z, MXMEDSH_Z, SLOPE_Z, SPEED_Z",475.7976717130597,14.45904786840619,1155.3393798925172,1192.610725579324,0.7148197579064054,0.7152988516071103,0.7424872058980468,1.0121386697123076,1.0,yes,False,True,,,,
1271,nb,sa,"CPM_Z, CURVES_Z, GBRPM_Z, SLOPE_Z, SPEED_Z, WIDTH_Z","AVEPRE_Z, MXMEDSH_Z, SLOPE_Z",475.90322738522866,14.462633833947413,1155.2927891028353,1192.5641347896421,0.7225025281703821,0.7228264719540024,0.7417252663952039,1.0119050649807202,1.0,yes,False,True,,,,
1270,nb,sa,"CPM_Z, CURVES_Z, GBRPM_Z, MIGRADE_Z, SLOPE_Z, SPEED_Z, WIDTH_Z","AVEPRE_Z, MXMEDSH_Z, SLOPE_Z",476.5267181540005,14.922979402996024,1156.3391827031755,1196.716473863883,0.7235296230105577,0.7238726831208796,0.7434483106012492,1.0349640757129934,1.0,yes,False,False,,,,
1275,nb,sa,"CPM_Z, CURVES_Z, GBRPM_Z, SLOPE_Z, WIDTH_Z","AVEPRE_Z, MXMEDSH_Z, SLOPE_Z",482.6164215332997,14.709103121203093,1153.9682822371012,1188.1336824500077,0.7399555078958233,0.7402921263099643,0.7598834994153619,1.0664245671378,1.0,yes,False,True,,,,
1274,poisson,sa,"CPM_Z, CURVES_Z, GBRPM_Z, SLOPE_Z, WIDTH_Z","AVEPRE_Z, CURVES_Z, MXMEDSH_Z, SLOPE_Z",490.26515731079974,13.287285448339446,1829.925031422872,1864.0904316357785,0.650323567063115,0.6716369058894693,0.7015880358593952,1.0666757093377506,1.0,yes,False,False,,,,
1276,nb,sa,"CPM_Z, GBRPM_Z, SLOPE_Z, WIDTH_Z","AVEPRE_Z, MXMEDSH_Z, SLOPE_Z",491.8830540942911,15.307972272648286,1153.7371667811133,1184.796621520119,0.7537798761537192,0.7541673710871378,0.7748572255559594,1.1064247660398743,1.0,yes,False,True,,,,
85,nb,random,"CURVES_Z, MEDWIDTH_Z, MIGRADE_Z, SLOPE_Z, SPEED_Z, WIDTH_Z","AVEPRE_Z, MXMEDSH_Z, SLOPE_Z, WIDTH_Z",496.4881415638984,15.0075438794754,1155.3426559348545,1195.719947095562,0.6998910430881361,0.7009727023666248,0.811038217836314,1.079851779808028,1.0,yes,False,False,,,,
1277,nb,sa,"CPM_Z, GBRPM_Z, SLOPE_Z, WIDTH_Z","AVEPRE_Z, SLOPE_Z, SPEED_Z",496.54356726647984,14.345074929196429,1157.2676283371543,1188.32708307616,0.7595577384198897,0.7599929060873564,0.7815511444789196,1.0530258838472302,1.0,yes,False,True,,,,
1278,nb,sa,"CPM_Z, GBRPM_Z, SLOPE_Z, WIDTH_Z","AVEPRE_Z, SLOPE_Z",497.70513718212277,14.212903221624885,1156.4521954459522,1184.4057047110573,0.8002334533697876,0.8006104839740188,0.8105292891007163,1.132116233424538,1.0,yes,True,True,0.009049442411651534,0.19390333428603113,0.009049442411651534,0.20295277669768266
1269,poisson,sa,"CURVES_Z, GBRPM_Z, MEDWIDTH_Z, MIGRADE_Z, SLOPE_Z, SPEED_Z, WIDTH_Z","AVEPRE_Z, MXMEDSH_Z, SLOPE_Z",501.8532751383053,14.009965750290432,1821.2888597952917,1858.5602054820988,0.6510958597459423,0.6513874447082226,0.6655947361111187,1.0115172140776103,1.0,yes,False,False,,,,
1268,nb,sa,"CURVES_Z, GBRPM_Z, MEDWIDTH_Z, MIGRADE_Z, SLOPE_Z, SPEED_Z, WIDTH_Z","AVEPRE_Z, MXMEDSH_Z, SLOPE_Z",504.43864363682997,15.664824082315226,1156.490349245032,1196.8676404057394,0.7388912161310758,0.7392432619136144,0.7573497620132633,1.0110275848280554,1.0,yes,False,False,,,,
1267,nb,sa,"CURVES_Z, MEDWIDTH_Z, MIGRADE_Z, SLOPE_Z, SPEED_Z, WIDTH_Z","AVEPRE_Z, MXMEDSH_Z, SLOPE_Z",510.11661317600834,15.698662532644558,1154.9940496239756,1192.2653953107824,0.7391296817902661,0.739472048933254,0.7572823750993096,1.0067714138737986,1.0,yes,False,True,,,,
330,poisson,random,"AVESNOW_Z, CURVES_Z, FC_1, FRICTION_Z, SLOPE_Z, SPEED_Z, TANGENT_Z, URB, WIDTH_Z","LANES_Z, SLOPE_Z",512.1322622850383,13.069671607745562,1830.5580668714927,1870.9353580322002,0.7198164703968899,0.719865644732461,0.7199639934036033,1.1106020780095567,1.0,yes,True,False,,,,
356,poisson,random,"ACCESS_Z, AVEPRE_Z, FC_1, FRICTION_Z, GRADEBR_Z, HISNOW, INTPM_Z, MIGRADE_Z, SLOPE_Z, URB","ACCESS_Z, SLOPE_Z",516.3924677609738,13.594068491863348,1823.9670451197062,1867.4502817543143,0.6883528850093396,0.6883528850093396,0.6883528850093396,1.155467398570044,1.0,yes,False,False,,,,
575,poisson,random,"AVEPRE_Z, FC_2, GBRPM_Z, INTPM_Z, MIGRADE_Z, MINRAD_Z, MXGRADE_Z, SLOPE_Z, SPEED_Z, URB","AVEPRE_Z, CURVES_Z, SLOPE_Z, URB",516.4518619191382,13.28431937020816,1805.3576049576554,1855.0527325400647,0.26966997996005515,0.5723445040538425,0.7797673016778741,1.0808574964145579,1.0,yes,True,False,,,,
